recipe,ingredients,procedure
Tomato Soup,"tomato, butter, garlic, onion",Heat the butter in a pan. Add garlic and onion and sauté. Add tomatoes and cook until soft. Blend the mixture and simmer. Serve hot.
Garlic Bread,"garlic, butter, bread",Preheat the oven to 350°F. Spread butter and garlic on bread slices. Bake for 10 minutes.
Mixed Berry Smoothie,"mixed berries, yogurt, honey","Blend mixed berries, yogurt, and honey until smooth. Serve chilled."
Vegetable Stir-fry,"onion, garlic, broccoli, carrot",Stir-fry garlic and onion in a pan. Add broccoli and carrot. Cook until vegetables are tender. Serve hot.
Chicken Salad,"chicken, lettuce, tomato, onion","Boil the chicken and shred it. Mix with lettuce, tomato, and onion. Add dressing and toss."
Beef Stew,"beef, potato, carrot, onion, garlic","Brown the beef in a pot. Add onion and garlic, sauté. Add potatoes and carrots. Simmer for 1 hour."
Egg Salad,"egg, mayonnaise, mustard, lettuce",Boil eggs and chop them. Mix with mayonnaise and mustard. Serve on a bed of lettuce.
Pasta,"spaghetti, tomato, garlic, onion, olive oil",Boil spaghetti in salted water. Sauté garlic and onion in olive oil. Add tomato and cook. 4. Toss pasta with the sauce.
Butter Chicken,"chicken, butter, garlic, onion, tomato, spices",Cook chicken with spices. Sauté garlic and onion in butter. Add tomato and cook. Add chicken to the sauce and simmer.
Chocolate Cake,"flour, sugar, egg, butter, cocoa powder","Preheat the oven to 350°F. Mix flour, sugar, cocoa powder, eggs, and butter. Pour into a pan and bake for 30 minutes."
